food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
cream cheese,51,5.0,0.8,0.9,0.5,0.0,0.016,14.6,7.07
neufchatel cheese,215,19.4,3.1,7.8,2.7,0.0,0.3,62.9,130.1
requeijao cremoso light catupiry,49,3.6,0.9,0.8,3.4,0.1,0.0,0.0,5.4
ricotta cheese,30,2.0,1.5,1.5,0.091,0.0,0.017,9.8,5.196
cream cheese low fat,30,2.3,1.2,1.2,0.9,0.0,0.046,8.1,27.007
cream cheese fat free,19,0.2,1.4,2.8,1.0,0.0,0.1,2.2,67.679
gruyere cheese,116,9.1,0.1,8.3,0.1,0.0,0.2,30.8,300.694
cheddar cheese,113,9.3,0.9,6.4,0.1,0.0,0.2,27.7,215.53
parmesan cheese,71,4.5,0.6,6.4,0.046,0.0,0.2,12.2,224.777
romano cheese,19,1.3,0.2,1.6,0.088,0.0,0.008,5.2,56.38
parmesan cheese grated,21,1.4,0.7,1.4,0.075,0.0,0.043,4.3,3.745
port salut cheese,465,37.2,0.8,31.4,0.8,0.0,0.7,162.4,928.4
swiss cheese,98,7.7,0.4,6.7,0.0,0.0,0.057,23.3,237.396
goat cheese hard,128,10.1,0.6,8.6,0.6,0.0,0.076,29.7,273.2
gouda cheese,100,7.7,0.6,7.0,0.6,0.0,0.2,31.9,211.424
pepper jack cheese lucerne,75,6.0,0.0,5.0,0.0,2.5,0.0,0.0,13.5
caraway cheese,106,8.3,0.9,7.1,0.0,0.0,0.2,26.3,207.072
gjetost cheese,1058,67.0,96.8,21.9,0.0,0.0,1.4,213.4,1095.7
tilsit cheese,136,10.4,0.8,9.8,0.0,0.0,0.3,40.8,301.069
goat cheese,103,8.4,0.009,6.1,0.031,0.0,0.1,22.4,99.494
brick cheese,111,8.9,0.8,7.0,0.2,0.0,0.2,28.2,219.002
asadero cheese,402,31.9,3.2,25.5,3.2,0.0,0.7,118.7,808.175
camembert cheese,90,7.3,0.1,5.9,0.1,0.0,0.3,21.6,129.826
provolone cheese reduced fat,310,19.9,4.0,27.9,0.6,0.0,1.0,62.2,906.9
roquefort cheese,314,26.0,1.7,18.3,0.0,0.0,1.5,76.5,609.4
queso blanco cheese,366,28.7,3.0,24.0,2.1,0.0,0.8,82.6,870.3
queso seco cheese,315,23.6,2.0,23.8,0.5,0.0,1.8,75.7,691.0
goat cheese soft,75,6.0,0.0,5.2,0.3,0.0,0.1,13.0,51.311
mozzarella cheese,90,6.6,0.7,6.7,0.0,0.0,0.1,23.7,165.648
chihuahua cheese,494,39.2,7.3,28.5,7.3,0.0,0.8,138.6,934.983
limburger cheese,98,8.2,0.1,6.0,0.1,0.0,0.2,27.0,163.575
muenster cheese,486,39.7,1.5,30.9,1.5,0.0,0.8,126.7,1019.4
queso fresco cheese,365,29.1,3.6,22.1,2.8,0.0,0.9,84.2,745.8
brie cheese,100,8.3,0.1,6.2,0.1,0.0,0.2,30.0,70.096
pimento cheese,525,43.7,2.4,31.0,0.9,0.1,2.0,131.6,940.9
mexican cheese,316,21.7,3.8,27.7,0.6,0.0,0.9,69.4,1337.0
feta cheese,80,6.4,1.2,4.3,0.0,0.0,0.3,26.7,160.058
mozzarella cheese fat free,159,0.0,4.0,35.8,1.7,2.0,0.8,20.3,1128.2
provolone cheese,463,35.1,2.8,33.8,0.7,0.0,1.2,91.1,1070.6
anejo cheese,492,39.6,6.1,28.3,6.1,0.0,1.5,138.6,972.205
honey,64,0.0,17.3,0.08,17.2,0.025,0.011,0.0,18.892
apple butter,35,0.063,8.5,0.045,7.1,0.3,0.003,0.0,11.836
fruit jam,56,0.095,13.8,0.0,9.7,0.2,0.052,0.0,19.919
chocolate hazelnut spread,100,5.5,11.5,1.0,10.0,1.0,0.099,0.0,39.8
peanut butter,88,7.4,3.6,3.3,1.0,0.9,0.085,0.0,15.268
peanut spread,101,8.5,2.2,3.8,0.5,1.2,0.028,0.0,27.3
chicken spread,88,9.8,2.3,10.1,0.3,0.2,0.4,31.4,31.972
cheese spread,708,68.6,8.4,17.0,8.4,0.0,1.2,216.0,267.8
tahini,86,7.2,3.9,2.7,0.0,1.4,0.098,0.0,78.6
orange marmalade,49,0.0,13.3,0.014,12.0,0.1,0.016,0.0,22.119
american cheese spread,46,3.4,1.4,2.6,1.2,0.0,0.3,8.8,97.357
apricot jam,48,0.01,12.9,0.1,8.7,0.044,0.004,0.0,18.91
chunky peanut butter,94,8.0,3.5,3.8,1.3,1.3,0.03,0.0,24.1
ham and cheese spread,37,2.8,0.3,2.4,0.0,0.0,0.2,9.2,38.238
